Section_ID,Section_Name,Index_Grid_in_Section,Index_of_X,Index_of_Y
KHC001,三民區(1),1,186,213
KHC002,三民區(2),1,189,212
KHC003,三民區(3),1,184,212
KHC004,三民區(4),1,188,212
KHC005,三民區(5),1,187,213
KHC006,仁武區(1),1,189,217
KHC007,仁武區(2),1,188,218
KHC008,仁武區(3),1,190,217
KHC009,仁武區(4),1,189,218
KHC009,仁武區(4),2,189,216
KHC009,仁武區(4),3,189,215
KHC010,仁武區(5),1,188,215
KHC011,前金區(1),1,185,211
KHC012,前鎮區(1),1,187,207
KHC013,前鎮區(2),1,185,209
KHC014,大寮區(1),1,193,209
KHC015,大寮區(2),1,191,208
KHC015,大寮區(2),2,192,208
KHC015,大寮區(2),3,193,208
KHC015,大寮區(2),4,194,208
KHC016,大寮區(3),1,193,206
KHC016,大寮區(3),2,194,206
KHC017,大樹區(1),1,194,213
KHC018,大樹區(2),1,195,213
KHC019,大社區(1),1,189,221
KHC020,大社區(2),1,189,219
KHC021,小港區(1),1,189,207
KHC021,小港區(1),2,190,207
KHC021,小港區(1),3,189,206
KHC021,小港區(1),4,190,206
KHC022,小港區(2),1,191,204
KHC023,岡山區(1),1,185,228
KHC023,岡山區(1),2,186,228
KHC023,岡山區(1),3,186,227
KHC024,岡山區(2),1,185,225
KHC024,岡山區(2),2,185,224
KHC025,岡山區(3),1,185,227
KHC025,岡山區(3),2,185,226
KHC025,岡山區(3),3,186,226
KHC026,岡山區(4),1,183,223
KHC026,岡山區(4),2,184,223
KHC027,左營區(1),1,184,216
KHC028,彌陀區(1),1,181,224
KHC028,彌陀區(1),2,181,223
KHC029,新興區(1),1,185,212
KHC030,新興區(2),1,185,210
KHC031,旗山區(1),1,200,229
KHC032,旗山區(2),1,198,229
KHC032,旗山區(2),2,199,229
KHC033,旗津區(1),1,184,208
KHC034,林園區(1),1,194,200
KHC034,林園區(1),2,194,199
KHC035,林園區(2),1,193,201
KHC036,梓官區(1),1,181,220
KHC037,梓官區(2),1,182,220
KHC038,梓官區(3),1,181,219
KHC038,梓官區(3),2,182,219
KHC039,梓官區(4),1,182,222
KHC040,楠梓區(1),1,187,219
KHC041,楠梓區(2),1,183,219
KHC041,楠梓區(2),2,184,219
KHC041,楠梓區(2),3,183,218
KHC041,楠梓區(2),4,184,218
KHC042,橋頭區(1),1,186,223
KHC042,橋頭區(1),2,186,222
KHC043,永安區(1),1,181,226
KHC044,永安區(2),1,179,226
KHC045,永安區(3),1,178,227
KHC045,永安區(3),2,178,226
KHC046,湖內區(1),1,179,233
KHC047,燕巢區(2),1,191,222
KHC048,田寮區(1),1,192,231
KHC049,美濃區(1),1,204,233
KHC049,美濃區(1),2,205,233
KHC050,苓雅區(1),1,187,212
KHC051,苓雅區(2),1,187,211
KHC052,苓雅區(3),1,187,210
KHC053,茄萣區(1),1,176,233
KHC054,路竹區(1),1,184,230
KHC055,路竹區(2),1,179,230
KHC055,路竹區(2),2,179,229
KHC056,阿蓮區(1),1,185,229
KHC056,阿蓮區(1),2,186,229
KHC057,阿蓮區(2),1,188,232
KHC058,鳥松區(1),1,189,213
KHC058,鳥松區(1),2,190,213
KHC059,鳥松區(2),1,190,214
KHC059,鳥松區(2),2,191,214
KHC060,鳥松區(3),1,190,215
KHC061,鳥松區(4),1,188,213
KHC061,鳥松區(4),2,192,213
KHC061,鳥松區(4),3,193,213
KHC062,鳥松區(5),1,191,213
KHC063,鳳山區(1),1,188,210
KHC064,鳳山區(2),1,190,211
KHC065,鳳山區(3),1,189,211
KHC065,鳳山區(3),2,188,211
KHC066,鳳山區(4),1,190,212
KHC067,鹽埕區(1),1,184,211
KHC068,鼓山區(1),1,183,213
KHC068,鼓山區(1),2,183,212
KHC069,鼓山區(2),1,183,211
KHC070,鼓山區(3),1,184,214
