Section_ID,Section_Name,Index_Grid_in_Section,Index_of_X,Index_of_Y
THBbr001,第二號橋,1,217,219
THBbr001,第二號橋,2,218,219
THBbr001,第二號橋,3,219,219
THBbr001,第二號橋,4,218,220
THBbr002,唯金溪橋,1,231,259
THBbr002,唯金溪橋,2,232,259
THBbr002,唯金溪橋,3,233,259
THBbr002,唯金溪橋,4,229,260
THBbr002,唯金溪橋,5,230,260
THBbr002,唯金溪橋,6,231,260
THBbr002,唯金溪橋,7,232,260
THBbr002,唯金溪橋,8,233,260
THBbr002,唯金溪橋,9,228,261
THBbr002,唯金溪橋,10,229,261
THBbr002,唯金溪橋,11,230,261
THBbr002,唯金溪橋,12,231,261
THBbr002,唯金溪橋,13,232,261
THBbr002,唯金溪橋,14,233,261
THBbr002,唯金溪橋,15,230,262
THBbr002,唯金溪橋,16,231,262
THBbr002,唯金溪橋,17,232,262
THBbr003,大觀橋,1,249,321
THBbr003,大觀橋,2,250,321
THBbr003,大觀橋,3,250,322
THBbr003,大觀橋,4,250,323
THBbr003,大觀橋,5,251,324
THBbr003,大觀橋,6,251,325
THBbr003,大觀橋,7,252,325
THBbr003,大觀橋,8,250,326
THBbr003,大觀橋,9,251,326
THBbr003,大觀橋,10,252,326
THBbr003,大觀橋,11,253,326
THBbr003,大觀橋,12,251,327
THBbr003,大觀橋,13,252,327
THBbr003,大觀橋,14,253,327
THBbr004,則前橋(左),1,268,356
THBbr004,則前橋(左),2,266,357
THBbr004,則前橋(左),3,267,357
THBbr004,則前橋(左),4,268,357
THBbr004,則前橋(左),5,269,357
THBbr004,則前橋(左),6,267,358
THBbr004,則前橋(左),7,268,358
THBbr004,則前橋(左),8,269,358
THBbr004,則前橋(左),9,270,358
THBbr004,則前橋(左),10,271,358
THBbr004,則前橋(左),11,268,359
THBbr004,則前橋(左),12,269,359
THBbr004,則前橋(左),13,270,359
THBbr004,則前橋(左),14,271,359
THBbr004,則前橋(左),15,269,360
THBbr004,則前橋(左),16,270,360
THBbr005,高義橋,1,265,377
THBbr005,高義橋,2,266,377
THBbr005,高義橋,3,265,378
THBbr005,高義橋,4,266,378
THBbr005,高義橋,5,267,378
THBbr005,高義橋,6,268,378
THBbr005,高義橋,7,265,379
THBbr005,高義橋,8,266,379
THBbr005,高義橋,9,267,379
