Section_ID,Section_Name,Index_Grid_in_Section,Index_of_X,Index_of_Y
THB001,第一區養護工程處-中和工務段(1),1,272,413
THB002,第一區養護工程處-中和工務段(2),1,271,413
THB004,第一區養護工程處-中和工務段(4),1,270,412
THB005,第一區養護工程處-中和工務段(5),1,269,412
THB007,第一區養護工程處-中和工務段(7),1,268,411
THB008,第一區養護工程處-中和工務段(8),1,267,411
THB009,第一區養護工程處-中和工務段(9),1,266,411
THB011,第一區養護工程處-中和工務段(11),1,265,411
THB012,第一區養護工程處-中和工務段(12),1,264,411
THB013,第一區養護工程處-中和工務段(13),1,263,411
THB014,第一區養護工程處-中壢工務段(1),1,263,410
THB015,第一區養護工程處-中壢工務段(2),1,262,410
THB016,第一區養護工程處-中壢工務段(3),1,261,411
THB017,第一區養護工程處-中壢工務段(4),1,260,410
THB019,第一區養護工程處-中壢工務段(6),1,259,410
THB020,第一區養護工程處-中壢工務段(7),1,258,410
