item_num,num_code,institution,section_name,stid,stname,qpegc,qpf,alarm_level
001,0101,三民區,三民區(1),KHC001,三民區(1),70.00,NULL,PRE-WARNING
001,0101,三民區,三民區(1),KHC001,三民區(1),NULL,70.00,PRE-WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),60.00,NULL,PRE-WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),NULL,60.00,PRE-WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),70.00,NULL,PRE-WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),NULL,70.00,PRE-WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),70.00,NULL,PRE-WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),NULL,70.00,PRE-WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),70.00,NULL,PRE-WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),NULL,70.00,PRE-WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),50.00,NULL,PRE-WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),NULL,50.00,PRE-WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),50.00,NULL,PRE-WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),NULL,50.00,PRE-WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),50.00,NULL,PRE-WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),NULL,50.00,PRE-WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),50.00,NULL,PRE-WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),NULL,50.00,PRE-WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),50.00,NULL,PRE-WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),NULL,50.00,PRE-WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),60.00,NULL,PRE-WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),NULL,60.00,PRE-WARNING
012,0401,前鎮區,前鎮區(1),KHC012,前鎮區(1),70.00,NULL,PRE-WARNING
012,0401,前鎮區,前鎮區(1),KHC012,前鎮區(1),NULL,70.00,PRE-WARNING
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),70.00,NULL,PRE-WARNING
013,0402,前鎮區,前鎮區(2),KHC013,前鎮區(2),NULL,70.00,PRE-WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),60.00,NULL,PRE-WARNING
014,0501,大寮區,大寮區(1),KHC014,大寮區(1),NULL,60.00,PRE-WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),60.00,NULL,PRE-WARNING
015,0502,大寮區,大寮區(2),KHC015,大寮區(2),NULL,60.00,PRE-WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),60.00,NULL,PRE-WARNING
016,0503,大寮區,大寮區(3),KHC016,大寮區(3),NULL,60.00,PRE-WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),60.00,NULL,PRE-WARNING
017,0601,大樹區,大樹區(1),KHC017,大樹區(1),NULL,60.00,PRE-WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),60.00,NULL,PRE-WARNING
018,0602,大樹區,大樹區(2),KHC018,大樹區(2),NULL,60.00,PRE-WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),60.00,NULL,PRE-WARNING
019,0701,大社區,大社區(1),KHC019,大社區(1),NULL,60.00,PRE-WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),60.00,NULL,PRE-WARNING
020,0702,大社區,大社區(2),KHC020,大社區(2),NULL,60.00,PRE-WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),60.00,NULL,PRE-WARNING
021,0801,小港區,小港區(1),KHC021,小港區(1),NULL,60.00,PRE-WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),60.00,NULL,PRE-WARNING
022,0802,小港區,小港區(2),KHC022,小港區(2),NULL,60.00,PRE-WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),60.00,NULL,PRE-WARNING
023,0901,岡山區,岡山區(1),KHC023,岡山區(1),NULL,60.00,PRE-WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),60.00,NULL,PRE-WARNING
024,0902,岡山區,岡山區(2),KHC024,岡山區(2),NULL,60.00,PRE-WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),60.00,NULL,PRE-WARNING
025,0903,岡山區,岡山區(3),KHC025,岡山區(3),NULL,60.00,PRE-WARNING
026,0904,岡山區,岡山區(4),KHC026,岡山區(4),60.00,NULL,PRE-WARNING
026,0904,岡山區,岡山區(4),KHC026,岡山區(4),NULL,60.00,PRE-WARNING
027,1001,左營區,左營區(1),KHC027,左營區(1),60.00,NULL,PRE-WARNING
027,1001,左營區,左營區(1),KHC027,左營區(1),NULL,60.00,PRE-WARNING
028,1101,彌陀區,彌陀區(1),KHC028,彌陀區(1),60.00,NULL,PRE-WARNING
028,1101,彌陀區,彌陀區(1),KHC028,彌陀區(1),NULL,60.00,PRE-WARNING
029,1201,新興區,新興區(1),KHC029,新興區(1),60.00,NULL,PRE-WARNING
029,1201,新興區,新興區(1),KHC029,新興區(1),NULL,60.00,PRE-WARNING
030,1202,新興區,新興區(2),KHC030,新興區(2),60.00,NULL,PRE-WARNING
030,1202,新興區,新興區(2),KHC030,新興區(2),NULL,60.00,PRE-WARNING
031,1301,旗山區,旗山區(1),KHC031,旗山區(1),70.00,NULL,PRE-WARNING
031,1301,旗山區,旗山區(1),KHC031,旗山區(1),NULL,70.00,PRE-WARNING
032,1302,旗山區,旗山區(2),KHC032,旗山區(2),70.00,NULL,PRE-WARNING
032,1302,旗山區,旗山區(2),KHC032,旗山區(2),NULL,70.00,PRE-WARNING
