item_num,num_code,institution,section_name,stid,stname,qpegc,qpf,alarm_level
001,0101,三民區,三民區(1),KHC001,三民區(1),70.00,NULL,PRE-WARNING
001,0101,三民區,三民區(1),KHC001,三民區(1),NULL,70.00,PRE-WARNING
001,0101,三民區,三民區(1),KHC001,三民區(1),70.00,NULL,WARNING
001,0101,三民區,三民區(1),KHC001,三民區(1),NULL,70.00,WARNING
001,0101,三民區,三民區(1),KHC001,三民區(1),70.00,NULL,CRITICAL
001,0101,三民區,三民區(1),KHC001,三民區(1),NULL,70.00,CRITICAL
002,0102,三民區,三民區(2),KHC002,三民區(2),60.00,NULL,PRE-WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),NULL,60.00,PRE-WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),60.00,NULL,WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),NULL,60.00,WARNING
002,0102,三民區,三民區(2),KHC002,三民區(2),60.00,NULL,CRITICAL
002,0102,三民區,三民區(2),KHC002,三民區(2),NULL,60.00,CRITICAL
003,0103,三民區,三民區(3),KHC003,三民區(3),70.00,NULL,PRE-WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),NULL,70.00,PRE-WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),70.00,NULL,WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),NULL,70.00,WARNING
003,0103,三民區,三民區(3),KHC003,三民區(3),70.00,NULL,CRITICAL
003,0103,三民區,三民區(3),KHC003,三民區(3),NULL,70.00,CRITICAL
004,0104,三民區,三民區(4),KHC004,三民區(4),70.00,NULL,PRE-WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),NULL,70.00,PRE-WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),70.00,NULL,WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),NULL,70.00,WARNING
004,0104,三民區,三民區(4),KHC004,三民區(4),70.00,NULL,CRITICAL
004,0104,三民區,三民區(4),KHC004,三民區(4),NULL,70.00,CRITICAL
005,0105,三民區,三民區(5),KHC005,三民區(5),70.00,NULL,PRE-WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),NULL,70.00,PRE-WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),70.00,NULL,WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),NULL,70.00,WARNING
005,0105,三民區,三民區(5),KHC005,三民區(5),70.00,NULL,CRITICAL
005,0105,三民區,三民區(5),KHC005,三民區(5),NULL,70.00,CRITICAL
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),50.00,NULL,PRE-WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),NULL,50.00,PRE-WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),50.00,NULL,WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),NULL,50.00,WARNING
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),50.00,NULL,CRITICAL
006,0201,仁武區,仁武區(1),KHC006,仁武區(1),NULL,50.00,CRITICAL
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),50.00,NULL,PRE-WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),NULL,50.00,PRE-WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),50.00,NULL,WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),NULL,50.00,WARNING
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),50.00,NULL,CRITICAL
007,0202,仁武區,仁武區(2),KHC007,仁武區(2),NULL,50.00,CRITICAL
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),50.00,NULL,PRE-WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),NULL,50.00,PRE-WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),50.00,NULL,WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),NULL,50.00,WARNING
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),50.00,NULL,CRITICAL
008,0203,仁武區,仁武區(3),KHC008,仁武區(3),NULL,50.00,CRITICAL
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),50.00,NULL,PRE-WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),NULL,50.00,PRE-WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),50.00,NULL,WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),NULL,50.00,WARNING
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),50.00,NULL,CRITICAL
009,0204,仁武區,仁武區(4),KHC009,仁武區(4),NULL,50.00,CRITICAL
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),50.00,NULL,PRE-WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),NULL,50.00,PRE-WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),50.00,NULL,WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),NULL,50.00,WARNING
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),50.00,NULL,CRITICAL
010,0205,仁武區,仁武區(5),KHC010,仁武區(5),NULL,50.00,CRITICAL
011,0301,前金區,前金區(1),KHC011,前金區(1),60.00,NULL,PRE-WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),NULL,60.00,PRE-WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),60.00,NULL,WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),NULL,60.00,WARNING
011,0301,前金區,前金區(1),KHC011,前金區(1),60.00,NULL,CRITICAL
011,0301,前金區,前金區(1),KHC011,前金區(1),NULL,60.00,CRITICAL
012,0401,前鎮區,前鎮區(1),KHC012,前鎮區(1),70.00,NULL,PRE-WARNING
012,0401,前鎮區,前鎮區(1),KHC012,前鎮區(1),NULL,70.00,PRE-WARNING
