Datetime,001,002,003,004,005,006,007,008,009,010,011
2022-09-11 03:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 05:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 05:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 05:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 05:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 05:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 06:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 18:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 18:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 18:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 18:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 18:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 19:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 20:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 21:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 22:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-11 23:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 00:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:20:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:30:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 01:50:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 02:00:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 02:10:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 09:40:00,1,0,0,0,0,0,0,0,0,0,0
2022-09-12 09:50:00,1,0,0,0,0,0,0,0,0,0,0
