https://www.sunriver.com.tw/taiwanmap/grid_tm2_convert.php,Lat_TWD97,Lon_TWD97,Lat_TWD67,Lon_TWD67
1,25.1498352,121.3923331,25.151632,121.384117
2,25.1473371,121.3888835,25.149134,121.380667
3,25.1430479,121.3796855,25.144844,121.37147
4,25.13779503,121.3724248,25.139591,121.364209
5,25.13470383,121.3631936,25.136499,121.354978
6,25.13092831,121.3541877,25.132723,121.345972
7,25.12717311,121.3451899,25.128967,121.336975
8,25.12354308,121.336151,25.125337,121.327936
9,25.12150851,121.3265095,25.123302,121.318294
10,25.12137781,121.316629,25.123171,121.308414
11,25.12157793,121.3069923,25.12337,121.298777
12,25.12221797,121.2978319,25.12401,121.289616
13,25.11734291,121.2887661,25.119134,121.280551
14,25.11646745,121.2792255,25.118258,121.27101
15,25.11654204,121.2699858,25.118332,121.26177
16,25.11896661,121.2596735,25.120756,121.251457
17,25.11612777,121.2501639,25.117917,121.241948
18,25.1121895,121.2414631,25.113978,121.233247
19,25.10973168,121.2326513,25.11152,121.224435
20,25.10773516,121.222423,25.109523,121.214207
21,25.1040149,121.2133491,25.105802,121.205133
22,25.09955333,121.2047931,25.10134,121.196578
23,25.09381074,121.1980102,25.095597,121.189795
24,25.08976415,121.1893336,25.09155,121.181118
25,25.08414674,121.1814334,25.085932,121.173219
26,25.08105956,121.1721748,25.082844,121.16396
27,25.0779083,121.1630109,25.079693,121.154796
28,25.07561456,121.1534172,25.077398,121.145202
29,25.07319199,121.1441063,25.074975,121.135892
30,25.07027225,121.1341453,25.072055,121.125931
31,25.06957874,121.1232131,25.071361,121.114998
32,25.06673362,121.1150572,25.068515,121.106843
33,25.06178811,121.1069247,25.063569,121.09871
34,25.05673869,121.0989107,25.058519,121.090696
35,25.05248725,121.0901892,25.054268,121.081975
36,25.04794384,121.0817268,25.049724,121.073513
37,25.04179671,121.0745885,25.043576,121.066375
38,25.0378612,121.0656592,25.03964,121.057446
39,25.03316197,121.0573299,25.03494,121.049117
40,25.0247187,121.048437,25.026497,121.040224
41,25.018443,121.0413099,25.020221,121.033097
42,25.0118394,121.034555,25.013617,121.026343
43,25.0046053,121.0287093,25.006382,121.020498
44,24.9964583,121.0244788,24.998235,121.016268
45,24.9881436,121.0206712,24.98992,121.01246
46,24.979279,121.0187871,24.981055,121.010577
47,24.9705499,121.0163165,24.972326,121.008107
48,24.9624318,121.0119847,24.964208,121.003776
49,24.955451,121.0055037,24.957227,120.997295
50,24.9502493,120.9974403,24.952024,120.989232
51,24.9391429,120.9877539,24.940918,120.979546
52,24.9353893,120.9850088,24.937164,120.976801
53,24.9318557,120.9816956,24.93363,120.973488
54,24.9285511,120.9785449,24.930325,120.970338
55,24.92205571,120.9729973,24.92383,120.96479
56,24.91316499,120.9723943,24.914939,120.964188
57,24.90341305,120.9725813,24.905187,120.964375
58,24.89733133,120.967035,24.899105,120.95883
59,24.89116819,120.9598403,24.892941,120.951635
60,24.88292202,120.9560139,24.884695,120.947809
61,24.87409834,120.9540024,24.875871,120.945798
62,24.86515547,120.9527319,24.866928,120.944528
63,24.85726134,120.9481858,24.859034,120.939983
64,24.85058414,120.9415347,24.852356,120.933332
65,24.84360307,120.9352608,24.845375,120.927058
66,24.83635778,120.9295619,24.838129,120.92136
67,24.82806529,120.9272489,24.829837,120.919047
68,24.81965345,120.925567,24.821425,120.917366
69,24.80613464,120.9186143,24.807906,120.910414
70,24.79741851,120.9200697,24.79919,120.91187
71,24.78950725,120.9178752,24.791278,120.909676
72,24.78080287,120.9150726,24.782574,120.906874
73,24.77177722,120.913957,24.773548,120.905759
74,24.76401764,120.9097517,24.765788,120.901554
75,24.7558541,120.9060586,24.757624,120.897862
76,24.74727443,120.9031083,24.749045,120.894912
77,24.74196636,120.8951794,24.743736,120.886983
78,24.73708576,120.8867205,24.738855,120.878524
79,24.73214024,120.8788787,24.733909,120.870683
80,24.72545116,120.8709119,24.72722,120.862716
81,24.7171046,120.8678002,24.718873,120.859605
82,24.70895616,120.8673373,24.710724,120.859143
83,24.7002242,120.8657312,24.701992,120.857537
84,24.69376291,120.8595202,24.695531,120.851327
85,24.68629243,120.8526759,24.68806,120.844483
86,24.68033505,120.8464162,24.682102,120.838223
87,24.67299568,120.8389582,24.674762,120.830766
88,24.66672039,120.8320178,24.668487,120.823826
89,24.66390361,120.822667,24.665669,120.814475
90,24.6593071,120.8142849,24.661072,120.806093
91,24.65300152,120.8073765,24.654766,120.799185
92,24.64768224,120.7997098,24.649447,120.791518
93,24.64348943,120.7910925,24.645254,120.782901
94,24.63757191,120.7834557,24.639336,120.775265
95,24.63113701,120.776901,24.6329,120.76871
96,24.62360247,120.7718755,24.625366,120.763685
97,24.61718974,120.7650576,24.618952,120.756868
98,24.61077546,120.758672,24.612538,120.750483
99,24.60770077,120.7500242,24.609463,120.741835
100,24.60061977,120.742725,24.602381,120.734536
101,24.59463522,120.7374602,24.596396,120.729271
102,24.58775786,120.7312723,24.589519,120.723084
103,24.58268723,120.7233956,24.584448,120.715207
104,24.574639,120.7199091,24.576399,120.711721
105,24.5674699,120.7144827,24.56923,120.706295
106,24.558966,120.7135854,24.560726,120.705399
107,24.5520038,120.7076403,24.553763,120.699454
108,24.5446618,120.7024184,24.546421,120.694232
109,24.5357685,120.6983399,24.537528,120.690154
110,24.5293705,120.6921059,24.531129,120.683921
111,24.5217151,120.6878784,24.523474,120.679694
